edge,length
e1,36.21238898
e2,29.21238898
e3,25.21238898
e4,29.21238898
e5,36.21238898
e6,3
e7,3
e8,3
e9,3
e10,3
e11,3
e12,19.21238898
e13,16.21238898
e14,16.21238898
e15,19.21238898
e16,3
e17,3
e18,3
e19,3
e20,19.21238898
e21,16.21238898
e22,19.21238898
e23,3
e24,3
e25,17
e26,17
