edge,length
e1,47.42477796
e2,40.42477796
e3,26.71238898
e4,24.71238898
e5,31.71238898
e6,3
e7,3
e8,21.71238898
e9,3
e10,3
e11,21.71238898
e12,3
e13,18.71238898
e14,3
e15,43.42477796
e16,14
e17,14
