edge,length
e1,35.19838898
e2,27.19838898
e3,26.95438898
e4,34.95438898
e5,3.1525
e6,3.1525
e7,3.1525
e8,3.1525
e9,3.1525
e10,3.1525
e11,22.53488898
e12,15.97638898
e13,15.97638898
e14,15.97638898
e15,22.53488898
e16,3.1525
e17,3.1525
e18,3.1525
e19,3.1525
e20,3.1525
e21,3.1525
e22,20.71238898
e23,16.39638898
e24,16.39638898
e25,20.71238898
e26,4.24
e27,4.24
e28,4.24
e29,4.24
e30,36.34
e31,27.09
e32,36.34
